	title	link	source	salary_min	salary_max
72	Аналитик в департамент маркетинга	https://spb.hh.ru/vacancy/51174309	hh.ru		
73	Бизнес-аналитик	https://spb.hh.ru/vacancy/51719072	hh.ru	100000	
74	Бизнес-аналитик	https://spb.hh.ru/vacancy/49937511	hh.ru		
75	Аналитик SQL	https://spb.hh.ru/vacancy/47913832	hh.ru		
76	Финансовый аналитик	https://spb.hh.ru/vacancy/51711521	hh.ru		
77	Проектный менеджер \ аналитик данных	https://spb.hh.ru/vacancy/51799748	hh.ru		
78	Аналитик данных (удаленно)	https://spb.hh.ru/vacancy/51791739	hh.ru		
79	Data Аналитик (удаленная работа)	https://spb.hh.ru/vacancy/51767648	hh.ru		
80	Аналитик данных / Data analyst	https://spb.hh.ru/vacancy/51692334	hh.ru		
81	Системный аналитик	https://spb.hh.ru/vacancy/51012017	hh.ru		
82	Младший системный аналитик/Junior systems analyst	https://spb.hh.ru/vacancy/51197816	hh.ru		
83	Бизнес-аналитик (junior/junior+)	https://spb.hh.ru/vacancy/51414269	hh.ru		
84	Бизнес-аналитик (управленческий консалтинг)	https://spb.hh.ru/vacancy/51343459	hh.ru		
85	Аналитик Департамент бизнес-анализа и развития	https://spb.hh.ru/vacancy/51212458	hh.ru	80500	
86	Аналитик отдела маркетинга	https://spb.hh.ru/vacancy/49991071	hh.ru	150000	
87	Стажер-аналитик ЦРПиУЗ	https://spb.hh.ru/vacancy/51769789	hh.ru		
88	Бизнес-аналитик (удаленный формат работы)	https://spb.hh.ru/vacancy/51645647	hh.ru		
89	Аналитик по ценообразованию	https://spb.hh.ru/vacancy/51640954	hh.ru	100000	
90	Менеджер IT-проекта/Аналитик	https://spb.hh.ru/vacancy/50784843	hh.ru	150000	
91	"Младший аналитик/ аналитик (направление ""Консалтинг"")"	https://spb.hh.ru/vacancy/50975679	hh.ru		
92	CRM Аналитик / Специалист по развитию; оптимизации процессов	https://spb.hh.ru/vacancy/51808572	hh.ru	100000	
93	Ведущий специалист (аналитик)	https://spb.hh.ru/vacancy/51761216	hh.ru		
94	Аналитик	https://spb.hh.ru/vacancy/51301518	hh.ru		
95	Аналитик блокчейн проектов	https://spb.hh.ru/vacancy/51489236	hh.ru		
96	Junior Business Analyst/Бизнес-аналитик (английский язык)	https://spb.hh.ru/vacancy/51032788	hh.ru		1500
97	Экономист-аналитик	https://spb.hh.ru/vacancy/50541435	hh.ru		
98	Аналитик	https://spb.hh.ru/vacancy/50222045	hh.ru		120000
99	Бизнес-аналитик	https://spb.hh.ru/vacancy/51652184	hh.ru		
100	Аналитик бизнес-процессов	https://spb.hh.ru/vacancy/50703740	hh.ru	100000	
101	Бизнес-аналитик wildberries; ozon	https://spb.hh.ru/vacancy/51652228	hh.ru		
102	Младший финансовый аналитик (со знанием английского языка)	https://spb.hh.ru/vacancy/51811268	hh.ru		
103	Аналитик (удалённо)	https://spb.hh.ru/vacancy/51710760	hh.ru		
104	Аналитик отдела рисков	https://spb.hh.ru/vacancy/51388843	hh.ru		
105	Аналитик Департамента по управлению активами	https://spb.hh.ru/vacancy/51700155	hh.ru		
106	Бизнес-аналитик	https://spb.hh.ru/vacancy/51487887	hh.ru	100000	
